weekday_number,weekday_name,activity_hour,behaviour_type,behaviour_name,action_count
3,Wednesday,2,3,Cart,517
3,Wednesday,2,4,Purchase,99
3,Wednesday,3,1,View,13850
3,Wednesday,3,2,Favorite,346
3,Wednesday,3,3,Cart,419
3,Wednesday,3,4,Purchase,87
3,Wednesday,4,1,View,12037
3,Wednesday,4,2,Favorite,267
3,Wednesday,4,3,Cart,345
3,Wednesday,4,4,Purchase,81
3,Wednesday,5,1,View,13878
3,Wednesday,5,2,Favorite,284
3,Wednesday,5,3,Cart,387
3,Wednesday,5,4,Purchase,61
3,Wednesday,6,1,View,22885
3,Wednesday,6,2,Favorite,552
3,Wednesday,6,3,Cart,588
3,Wednesday,6,4,Purchase,122
3,Wednesday,7,1,View,39235
3,Wednesday,7,2,Favorite,873
3,Wednesday,7,3,Cart,1073
3,Wednesday,7,4,Purchase,295
3,Wednesday,8,1,View,57749
3,Wednesday,8,2,Favorite,1155
3,Wednesday,8,3,Cart,1460
3,Wednesday,8,4,Purchase,524
3,Wednesday,9,1,View,72220
3,Wednesday,9,2,Favorite,1619
3,Wednesday,9,3,Cart,1962
3,Wednesday,9,4,Purchase,845
3,Wednesday,10,1,View,80906
3,Wednesday,10,2,Favorite,1734
3,Wednesday,10,3,Cart,2505
3,Wednesday,10,4,Purchase,1127
3,Wednesday,11,1,View,79654
3,Wednesday,11,2,Favorite,1834
3,Wednesday,11,3,Cart,2462
3,Wednesday,11,4,Purchase,1083
3,Wednesday,12,1,View,81566
3,Wednesday,12,2,Favorite,1606
3,Wednesday,12,3,Cart,2541
3,Wednesday,12,4,Purchase,1070
3,Wednesday,13,1,View,89815
3,Wednesday,13,2,Favorite,1780
3,Wednesday,13,3,Cart,2751
3,Wednesday,13,4,Purchase,1240
3,Wednesday,14,1,View,88619
3,Wednesday,14,2,Favorite,1852
3,Wednesday,14,3,Cart,2866
3,Wednesday,14,4,Purchase,1140
3,Wednesday,15,1,View,91170
3,Wednesday,15,2,Favorite,1881
3,Wednesday,15,3,Cart,2637
3,Wednesday,15,4,Purchase,1066
3,Wednesday,16,1,View,87800
3,Wednesday,16,2,Favorite,1985
3,Wednesday,16,3,Cart,2526
3,Wednesday,16,4,Purchase,1110
3,Wednesday,17,1,View,73276
3,Wednesday,17,2,Favorite,1727
3,Wednesday,17,3,Cart,2146
3,Wednesday,17,4,Purchase,873
3,Wednesday,18,1,View,83615
3,Wednesday,18,2,Favorite,1799
3,Wednesday,18,3,Cart,2314
3,Wednesday,18,4,Purchase,755
3,Wednesday,19,1,View,112557
3,Wednesday,19,2,Favorite,2375
3,Wednesday,19,3,Cart,3071
3,Wednesday,19,4,Purchase,973
3,Wednesday,20,1,View,145617
3,Wednesday,20,2,Favorite,2882
3,Wednesday,20,3,Cart,4158
3,Wednesday,20,4,Purchase,1216
3,Wednesday,21,1,View,168400
3,Wednesday,21,2,Favorite,3102
3,Wednesday,21,3,Cart,4907
3,Wednesday,21,4,Purchase,1327
3,Wednesday,22,1,View,163084
3,Wednesday,22,2,Favorite,3228
3,Wednesday,22,3,Cart,5052
3,Wednesday,22,4,Purchase,1268
3,Wednesday,23,1,View,121111
3,Wednesday,23,2,Favorite,2782
3,Wednesday,23,3,Cart,4338
3,Wednesday,23,4,Purchase,955
4,Thursday,0,1,View,72678
4,Thursday,0,2,Favorite,1638
4,Thursday,0,3,Cart,2014
4,Thursday,0,4,Purchase,420
4,Thursday,1,1,View,37835
4,Thursday,1,2,Favorite,949
4,Thursday,1,3,Cart,1043
4,Thursday,1,4,Purchase,162
4,Thursday,2,1,View,20279
4,Thursday,2,2,Favorite,488
4,Thursday,2,3,Cart,593
4,Thursday,2,4,Purchase,96
4,Thursday,3,1,View,14977
4,Thursday,3,2,Favorite,307
4,Thursday,3,3,Cart,413
4,Thursday,3,4,Purchase,66
4,Thursday,4,1,View,12832
4,Thursday,4,2,Favorite,318
4,Thursday,4,3,Cart,394
4,Thursday,4,4,Purchase,44
4,Thursday,5,1,View,13365
4,Thursday,5,2,Favorite,271
4,Thursday,5,3,Cart,297
4,Thursday,5,4,Purchase,46
4,Thursday,6,1,View,23162
4,Thursday,6,2,Favorite,501
4,Thursday,6,3,Cart,563
4,Thursday,6,4,Purchase,117
4,Thursday,7,1,View,41731
4,Thursday,7,2,Favorite,860
4,Thursday,7,3,Cart,983
4,Thursday,7,4,Purchase,193
4,Thursday,8,1,View,55673
4,Thursday,8,2,Favorite,1088
4,Thursday,8,3,Cart,1454
4,Thursday,8,4,Purchase,516
4,Thursday,9,1,View,72293
4,Thursday,9,2,Favorite,1694
4,Thursday,9,3,Cart,1992
4,Thursday,9,4,Purchase,764
4,Thursday,10,1,View,82738
4,Thursday,10,2,Favorite,2023
4,Thursday,10,3,Cart,2659
4,Thursday,10,4,Purchase,1181
4,Thursday,11,1,View,80683
4,Thursday,11,2,Favorite,2035
4,Thursday,11,3,Cart,2485
4,Thursday,11,4,Purchase,1133
4,Thursday,12,1,View,81137
4,Thursday,12,2,Favorite,1543
4,Thursday,12,3,Cart,2529
4,Thursday,12,4,Purchase,1088
4,Thursday,13,1,View,90778
4,Thursday,13,2,Favorite,2073
4,Thursday,13,3,Cart,2698
4,Thursday,13,4,Purchase,1064
4,Thursday,14,1,View,91753
4,Thursday,14,2,Favorite,2000
4,Thursday,14,3,Cart,2925
4,Thursday,14,4,Purchase,1177
4,Thursday,15,1,View,91196
4,Thursday,15,2,Favorite,1978
4,Thursday,15,3,Cart,2993
4,Thursday,15,4,Purchase,1197
4,Thursday,16,1,View,85450
4,Thursday,16,2,Favorite,1837
4,Thursday,16,3,Cart,2640
4,Thursday,16,4,Purchase,1056
4,Thursday,17,1,View,77465
4,Thursday,17,2,Favorite,1730
4,Thursday,17,3,Cart,2460
4,Thursday,17,4,Purchase,766
4,Thursday,18,1,View,83374
4,Thursday,18,2,Favorite,1697
4,Thursday,18,3,Cart,2362
4,Thursday,18,4,Purchase,781
4,Thursday,19,1,View,114190
4,Thursday,19,2,Favorite,2413
4,Thursday,19,3,Cart,3185
4,Thursday,19,4,Purchase,892
4,Thursday,20,1,View,145116
4,Thursday,20,2,Favorite,2591
4,Thursday,20,3,Cart,4255
4,Thursday,20,4,Purchase,1254
4,Thursday,21,1,View,169213
4,Thursday,21,2,Favorite,3313
4,Thursday,21,3,Cart,5086
4,Thursday,21,4,Purchase,1323
4,Thursday,22,1,View,175185
4,Thursday,22,2,Favorite,3645
4,Thursday,22,3,Cart,5715
4,Thursday,22,4,Purchase,1358
4,Thursday,23,1,View,141111
4,Thursday,23,2,Favorite,3183
4,Thursday,23,3,Cart,5108
4,Thursday,23,4,Purchase,941
5,Friday,0,1,View,87214
5,Friday,0,2,Favorite,1533
5,Friday,0,3,Cart,3532
5,Friday,0,4,Purchase,2277
5,Friday,1,1,View,41960
5,Friday,1,2,Favorite,734
5,Friday,1,3,Cart,1405
5,Friday,1,4,Purchase,705
5,Friday,2,1,View,21979
5,Friday,2,2,Favorite,425
5,Friday,2,3,Cart,725
5,Friday,2,4,Purchase,281
5,Friday,3,1,View,14051
5,Friday,3,2,Favorite,295
5,Friday,3,3,Cart,345
5,Friday,3,4,Purchase,157
5,Friday,4,1,View,11991
5,Friday,4,2,Favorite,330
5,Friday,4,3,Cart,386
5,Friday,4,4,Purchase,111
5,Friday,5,1,View,13625
5,Friday,5,2,Favorite,292
5,Friday,5,3,Cart,374
5,Friday,5,4,Purchase,130
5,Friday,6,1,View,26439
5,Friday,6,2,Favorite,580
5,Friday,6,3,Cart,749
5,Friday,6,4,Purchase,356
5,Friday,7,1,View,45111
5,Friday,7,2,Favorite,975
5,Friday,7,3,Cart,1358
5,Friday,7,4,Purchase,644
5,Friday,8,1,View,56299
5,Friday,8,2,Favorite,1046
5,Friday,8,3,Cart,1790
5,Friday,8,4,Purchase,1043
5,Friday,9,1,View,67182
5,Friday,9,2,Favorite,1300
5,Friday,9,3,Cart,2286
5,Friday,9,4,Purchase,1285
5,Friday,10,1,View,76415
5,Friday,10,2,Favorite,1394
5,Friday,10,3,Cart,2572
5,Friday,10,4,Purchase,1459
5,Friday,11,1,View,67463
5,Friday,11,2,Favorite,1255
5,Friday,11,3,Cart,2276
5,Friday,11,4,Purchase,1399
5,Friday,12,1,View,71845
5,Friday,12,2,Favorite,1277
5,Friday,12,3,Cart,2169
5,Friday,12,4,Purchase,1262
5,Friday,13,1,View,79989
5,Friday,13,2,Favorite,1412
5,Friday,13,3,Cart,2543
5,Friday,13,4,Purchase,1433
5,Friday,14,1,View,75640
5,Friday,14,2,Favorite,1464
5,Friday,14,3,Cart,2395
5,Friday,14,4,Purchase,1174
5,Friday,15,1,View,75567
5,Friday,15,2,Favorite,1482
5,Friday,15,3,Cart,2359
5,Friday,15,4,Purchase,1172
5,Friday,16,1,View,71315
5,Friday,16,2,Favorite,1343
5,Friday,16,3,Cart,2238
5,Friday,16,4,Purchase,1170
5,Friday,17,1,View,64988
5,Friday,17,2,Favorite,1302
5,Friday,17,3,Cart,2084
5,Friday,17,4,Purchase,936
5,Friday,18,1,View,70042
5,Friday,18,2,Favorite,1486
5,Friday,18,3,Cart,2281
5,Friday,18,4,Purchase,862
5,Friday,19,1,View,90804
5,Friday,19,2,Favorite,1868
5,Friday,19,3,Cart,2492
5,Friday,19,4,Purchase,1083
5,Friday,20,1,View,111870
5,Friday,20,2,Favorite,1988
5,Friday,20,3,Cart,3132
5,Friday,20,4,Purchase,1276
5,Friday,21,1,View,130520
5,Friday,21,2,Favorite,2780
5,Friday,21,3,Cart,4303
5,Friday,21,4,Purchase,1510
5,Friday,22,1,View,132542
5,Friday,22,2,Favorite,2565
5,Friday,22,3,Cart,4428
5,Friday,22,4,Purchase,1677
5,Friday,23,1,View,114017
5,Friday,23,2,Favorite,2110
5,Friday,23,3,Cart,4197
5,Friday,23,4,Purchase,1407
6,Saturday,0,1,View,63450
6,Saturday,0,2,Favorite,1430
6,Saturday,0,3,Cart,1712
6,Saturday,0,4,Purchase,457
6,Saturday,1,1,View,32097
6,Saturday,1,2,Favorite,923
6,Saturday,1,3,Cart,838
6,Saturday,1,4,Purchase,157
6,Saturday,2,1,View,18491
6,Saturday,2,2,Favorite,432
6,Saturday,2,3,Cart,446
6,Saturday,2,4,Purchase,76
6,Saturday,3,1,View,12445
6,Saturday,3,2,Favorite,412
6,Saturday,3,3,Cart,288
6,Saturday,3,4,Purchase,53
6,Saturday,4,1,View,9324
6,Saturday,4,2,Favorite,338
6,Saturday,4,3,Cart,235
6,Saturday,4,4,Purchase,40
6,Saturday,5,1,View,10493
6,Saturday,5,2,Favorite,406
6,Saturday,5,3,Cart,284
6,Saturday,5,4,Purchase,50
6,Saturday,6,1,View,21397
6,Saturday,6,2,Favorite,751
6,Saturday,6,3,Cart,534
6,Saturday,6,4,Purchase,97
6,Saturday,7,1,View,37306
6,Saturday,7,2,Favorite,854
6,Saturday,7,3,Cart,1011
6,Saturday,7,4,Purchase,197
6,Saturday,8,1,View,51478
6,Saturday,8,2,Favorite,1166
6,Saturday,8,3,Cart,1291
6,Saturday,8,4,Purchase,338
6,Saturday,9,1,View,57320
6,Saturday,9,2,Favorite,1354
6,Saturday,9,3,Cart,1583
6,Saturday,9,4,Purchase,609
6,Saturday,10,1,View,63153
6,Saturday,10,2,Favorite,1329
6,Saturday,10,3,Cart,2035
6,Saturday,10,4,Purchase,722
6,Saturday,11,1,View,59598
6,Saturday,11,2,Favorite,1308
6,Saturday,11,3,Cart,1862
6,Saturday,11,4,Purchase,757
6,Saturday,12,1,View,56752
6,Saturday,12,2,Favorite,1240
6,Saturday,12,3,Cart,1709
6,Saturday,12,4,Purchase,731
6,Saturday,13,1,View,65333
6,Saturday,13,2,Favorite,1204
6,Saturday,13,3,Cart,2009
6,Saturday,13,4,Purchase,920
6,Saturday,14,1,View,67692
6,Saturday,14,2,Favorite,1282
6,Saturday,14,3,Cart,2090
6,Saturday,14,4,Purchase,881
6,Saturday,15,1,View,69012
6,Saturday,15,2,Favorite,1376
6,Saturday,15,3,Cart,2148
6,Saturday,15,4,Purchase,934
6,Saturday,16,1,View,67804
6,Saturday,16,2,Favorite,1358
6,Saturday,16,3,Cart,2101
6,Saturday,16,4,Purchase,897
6,Saturday,17,1,View,61364
6,Saturday,17,2,Favorite,1068
6,Saturday,17,3,Cart,1833
6,Saturday,17,4,Purchase,686
6,Saturday,18,1,View,64782
6,Saturday,18,2,Favorite,1182
6,Saturday,18,3,Cart,1947
6,Saturday,18,4,Purchase,593
6,Saturday,19,1,View,85150
6,Saturday,19,2,Favorite,1739
6,Saturday,19,3,Cart,2260
6,Saturday,19,4,Purchase,662
6,Saturday,20,1,View,108522
6,Saturday,20,2,Favorite,2174
6,Saturday,20,3,Cart,2890
6,Saturday,20,4,Purchase,948
6,Saturday,21,1,View,124439
6,Saturday,21,2,Favorite,2401
6,Saturday,21,3,Cart,3416
6,Saturday,21,4,Purchase,1010
6,Saturday,22,1,View,127177
6,Saturday,22,2,Favorite,2492
6,Saturday,22,3,Cart,3736
6,Saturday,22,4,Purchase,1044
6,Saturday,23,1,View,102574
6,Saturday,23,2,Favorite,2429
6,Saturday,23,3,Cart,3232
6,Saturday,23,4,Purchase,672
7,Sunday,0,1,View,63936
7,Sunday,0,2,Favorite,1558
7,Sunday,0,3,Cart,1761
7,Sunday,0,4,Purchase,376
7,Sunday,1,1,View,35281
7,Sunday,1,2,Favorite,1029
7,Sunday,1,3,Cart,904
7,Sunday,1,4,Purchase,152
7,Sunday,2,1,View,19330
7,Sunday,2,2,Favorite,497
7,Sunday,2,3,Cart,487
7,Sunday,2,4,Purchase,65
7,Sunday,3,1,View,13606
7,Sunday,3,2,Favorite,367
7,Sunday,3,3,Cart,302
7,Sunday,3,4,Purchase,49
7,Sunday,4,1,View,9536
7,Sunday,4,2,Favorite,228
7,Sunday,4,3,Cart,251
7,Sunday,4,4,Purchase,69
7,Sunday,5,1,View,9146
7,Sunday,5,2,Favorite,241
7,Sunday,5,3,Cart,238
7,Sunday,5,4,Purchase,38
7,Sunday,6,1,View,17576
7,Sunday,6,2,Favorite,414
7,Sunday,6,3,Cart,440
7,Sunday,6,4,Purchase,111
7,Sunday,7,1,View,37697
7,Sunday,7,2,Favorite,787
7,Sunday,7,3,Cart,846
7,Sunday,7,4,Purchase,197
7,Sunday,8,1,View,55122
7,Sunday,8,2,Favorite,1313
7,Sunday,8,3,Cart,1428
7,Sunday,8,4,Purchase,372
7,Sunday,9,1,View,62359
7,Sunday,9,2,Favorite,1523
7,Sunday,9,3,Cart,1673
7,Sunday,9,4,Purchase,680
7,Sunday,10,1,View,67471
7,Sunday,10,2,Favorite,1623
7,Sunday,10,3,Cart,1822
7,Sunday,10,4,Purchase,836
7,Sunday,11,1,View,63421
7,Sunday,11,2,Favorite,1342
7,Sunday,11,3,Cart,1793
7,Sunday,11,4,Purchase,752
7,Sunday,12,1,View,58178
7,Sunday,12,2,Favorite,1290
7,Sunday,12,3,Cart,1598
7,Sunday,12,4,Purchase,734
7,Sunday,13,1,View,66970
7,Sunday,13,2,Favorite,1430
7,Sunday,13,3,Cart,1903
7,Sunday,13,4,Purchase,772
7,Sunday,14,1,View,70675
7,Sunday,14,2,Favorite,1413
7,Sunday,14,3,Cart,1978
7,Sunday,14,4,Purchase,753
7,Sunday,15,1,View,71470
7,Sunday,15,2,Favorite,1606
7,Sunday,15,3,Cart,2045
7,Sunday,15,4,Purchase,788
7,Sunday,16,1,View,73843
7,Sunday,16,2,Favorite,1456
7,Sunday,16,3,Cart,2175
7,Sunday,16,4,Purchase,825
7,Sunday,17,1,View,61888
7,Sunday,17,2,Favorite,1222
7,Sunday,17,3,Cart,1754
7,Sunday,17,4,Purchase,629
7,Sunday,18,1,View,69113
7,Sunday,18,2,Favorite,1454
7,Sunday,18,3,Cart,1941
7,Sunday,18,4,Purchase,686
7,Sunday,19,1,View,89816
7,Sunday,19,2,Favorite,1708
7,Sunday,19,3,Cart,2342
7,Sunday,19,4,Purchase,817
7,Sunday,20,1,View,113931
7,Sunday,20,2,Favorite,2026
7,Sunday,20,3,Cart,3275
7,Sunday,20,4,Purchase,939
7,Sunday,21,1,View,134187
7,Sunday,21,2,Favorite,2560
7,Sunday,21,3,Cart,4032
7,Sunday,21,4,Purchase,1163
7,Sunday,22,1,View,133596
7,Sunday,22,2,Favorite,2647
7,Sunday,22,3,Cart,4281
7,Sunday,22,4,Purchase,1193
7,Sunday,23,1,View,99825
7,Sunday,23,2,Favorite,2514
7,Sunday,23,3,Cart,3422
7,Sunday,23,4,Purchase,706
