weekday_number,weekday_name,activity_hour,view_user_count,purchase_user_count,purchase_rate
5,Friday,10,3754,720,0.191795
5,Friday,11,3669,694,0.189152
5,Friday,12,3728,669,0.179453
5,Friday,13,3836,711,0.185349
5,Friday,14,3579,591,0.165130
5,Friday,15,3496,611,0.174771
5,Friday,16,3557,560,0.157436
5,Friday,17,3446,486,0.141033
5,Friday,18,3422,462,0.135009
5,Friday,19,3822,588,0.153846
5,Friday,20,4291,673,0.156840
5,Friday,21,4504,774,0.171847
5,Friday,22,4358,792,0.181735
5,Friday,23,3493,693,0.198397
6,Saturday,0,2272,260,0.114437
6,Saturday,1,1151,89,0.077324
6,Saturday,2,669,41,0.061286
6,Saturday,3,478,26,0.054393
6,Saturday,4,396,23,0.058081
6,Saturday,5,491,26,0.052953
6,Saturday,6,1007,61,0.060576
6,Saturday,7,1951,139,0.071246
6,Saturday,8,2678,198,0.073936
6,Saturday,9,2984,327,0.109584
6,Saturday,10,3188,382,0.119824
6,Saturday,11,3309,402,0.121487
6,Saturday,12,3301,409,0.123902
6,Saturday,13,3319,438,0.131967
6,Saturday,14,3308,442,0.133615
6,Saturday,15,3319,458,0.137993
6,Saturday,16,3311,415,0.125340
6,Saturday,17,3251,341,0.104891
6,Saturday,18,3311,314,0.094835
6,Saturday,19,3684,403,0.109392
6,Saturday,20,4035,499,0.123668
6,Saturday,21,4267,565,0.132412
6,Saturday,22,4040,522,0.129208
6,Saturday,23,3281,347,0.105760
7,Sunday,0,2167,207,0.095524
7,Sunday,1,1200,87,0.072500
7,Sunday,2,703,40,0.056899
7,Sunday,3,437,23,0.052632
7,Sunday,4,375,27,0.072000
7,Sunday,5,427,18,0.042155
7,Sunday,6,919,60,0.065288
7,Sunday,7,1848,104,0.056277
7,Sunday,8,2646,219,0.082766
7,Sunday,9,3022,329,0.108868
7,Sunday,10,3294,449,0.136308
7,Sunday,11,3248,416,0.128079
7,Sunday,12,3215,385,0.119751
7,Sunday,13,3373,420,0.124518
7,Sunday,14,3383,422,0.124741
7,Sunday,15,3358,453,0.134902
7,Sunday,16,3444,438,0.127178
7,Sunday,17,3274,392,0.119731
7,Sunday,18,3427,339,0.098920
7,Sunday,19,3786,439,0.115954
7,Sunday,20,4198,487,0.116008
7,Sunday,21,4394,604,0.137460
7,Sunday,22,4136,564,0.136364
7,Sunday,23,3150,378,0.120000
