activity_date,weekday_number,day_type,behaviour_type,behaviour_name,action_count,view_user_count,purchase_user_count,purchase_rate
2025-11-26,3,Weekday,4,Purchase,3573,6353,1487,0.234063
2025-11-27,4,Weekday,1,View,350040,6357,1527,0.240208
2025-11-27,4,Weekday,2,Favorite,7699,6357,1527,0.240208
2025-11-27,4,Weekday,3,Cart,9975,6357,1527,0.240208
2025-11-27,4,Weekday,4,Purchase,3670,6357,1527,0.240208
2025-11-28,5,Weekday,1,View,321813,6185,1442,0.233145
2025-11-28,5,Weekday,2,Favorite,6484,6185,1442,0.233145
2025-11-28,5,Weekday,3,Cart,9123,6185,1442,0.233145
2025-11-28,5,Weekday,4,Purchase,3218,6185,1442,0.233145
2025-11-29,6,Weekend,1,View,344127,6220,1377,0.221383
2025-11-29,6,Weekend,2,Favorite,7214,6220,1377,0.221383
2025-11-29,6,Weekend,3,Cart,10145,6220,1377,0.221383
2025-11-29,6,Weekend,4,Purchase,3211,6220,1377,0.221383
2025-11-30,7,Weekend,1,View,379439,6378,1534,0.240514
2025-11-30,7,Weekend,2,Favorite,7786,6378,1534,0.240514
2025-11-30,7,Weekend,3,Cart,10779,6378,1534,0.240514
2025-11-30,7,Weekend,4,Purchase,3616,6378,1534,0.240514
2025-12-01,1,Weekday,1,View,372095,6543,1657,0.253248
2025-12-01,1,Weekday,2,Favorite,7319,6543,1657,0.253248
2025-12-01,1,Weekday,3,Cart,11288,6543,1657,0.253248
2025-12-01,1,Weekday,4,Purchase,3909,6543,1657,0.253248
2025-12-02,2,Weekday,1,View,382052,6547,1585,0.242096
2025-12-02,2,Weekday,2,Favorite,8022,6547,1585,0.242096
2025-12-02,2,Weekday,3,Cart,11521,6547,1585,0.242096
2025-12-02,2,Weekday,4,Purchase,3621,6547,1585,0.242096
2025-12-03,3,Weekday,1,View,387497,6581,1697,0.257864
2025-12-03,3,Weekday,2,Favorite,8492,6581,1697,0.257864
2025-12-03,3,Weekday,3,Cart,11732,6581,1697,0.257864
2025-12-03,3,Weekday,4,Purchase,3885,6581,1697,0.257864
2025-12-04,4,Weekday,1,View,376307,6528,1585,0.242800
2025-12-04,4,Weekday,2,Favorite,8559,6528,1585,0.242800
2025-12-04,4,Weekday,3,Cart,11395,6528,1585,0.242800
2025-12-04,4,Weekday,4,Purchase,3691,6528,1585,0.242800
2025-12-05,5,Weekday,1,View,340976,6364,1493,0.234601
2025-12-05,5,Weekday,2,Favorite,7474,6364,1493,0.234601
2025-12-05,5,Weekday,3,Cart,10109,6364,1493,0.234601
2025-12-05,5,Weekday,4,Purchase,3319,6364,1493,0.234601
2025-12-06,6,Weekend,1,View,367126,6438,1452,0.225536
2025-12-06,6,Weekend,2,Favorite,8323,6438,1452,0.225536
2025-12-06,6,Weekend,3,Cart,10889,6438,1452,0.225536
2025-12-06,6,Weekend,4,Purchase,3272,6438,1452,0.225536
2025-12-07,7,Weekend,1,View,376596,6420,1403,0.218536
2025-12-07,7,Weekend,2,Favorite,8632,6420,1403,0.218536
2025-12-07,7,Weekend,3,Cart,11267,6420,1403,0.218536
2025-12-07,7,Weekend,4,Purchase,3256,6420,1403,0.218536
2025-12-08,1,Weekday,1,View,364097,6560,1551,0.236433
2025-12-08,1,Weekday,2,Favorite,8236,6560,1551,0.236433
2025-12-08,1,Weekday,3,Cart,10915,6560,1551,0.236433
2025-12-08,1,Weekday,4,Purchase,3419,6560,1551,0.236433
2025-12-09,2,Weekday,1,View,374261,6563,1429,0.217736
2025-12-09,2,Weekday,2,Favorite,8552,6563,1429,0.217736
2025-12-09,2,Weekday,3,Cart,11763,6563,1429,0.217736
2025-12-09,2,Weekday,4,Purchase,3449,6563,1429,0.217736
2025-12-10,3,Weekday,1,View,397661,6649,1442,0.216875
2025-12-10,3,Weekday,2,Favorite,8753,6649,1442,0.216875
2025-12-10,3,Weekday,3,Cart,12280,6649,1442,0.216875
2025-12-10,3,Weekday,4,Purchase,3216,6649,1442,0.216875
2025-12-11,4,Weekday,1,View,460329,6892,1449,0.210244
2025-12-11,4,Weekday,2,Favorite,9310,6892,1449,0.210244
2025-12-11,4,Weekday,3,Cart,15643,6892,1449,0.210244
2025-12-11,4,Weekday,4,Purchase,3226,6892,1449,0.210244
2025-12-12,5,Weekday,1,View,641507,7718,3897,0.504924
2025-12-12,5,Weekday,2,Favorite,10446,7718,3897,0.504924
2025-12-12,5,Weekday,3,Cart,24508,7718,3897,0.504924
2025-12-12,5,Weekday,4,Purchase,15251,7718,3897,0.504924
2025-12-13,6,Weekend,1,View,385337,6774,1549,0.228668
2025-12-13,6,Weekend,2,Favorite,7859,6774,1549,0.228668
2025-12-13,6,Weekend,3,Cart,10486,6774,1549,0.228668
2025-12-13,6,Weekend,4,Purchase,3478,6774,1549,0.228668
2025-12-14,7,Weekend,1,View,380717,6668,1506,0.225855
2025-12-14,7,Weekend,2,Favorite,8128,6668,1506,0.225855
2025-12-14,7,Weekend,3,Cart,10213,6668,1506,0.225855
2025-12-14,7,Weekend,4,Purchase,3483,6668,1506,0.225855
2025-12-15,1,Weekday,1,View,376624,6784,1627,0.239829
2025-12-15,1,Weekday,2,Favorite,7758,6784,1627,0.239829
2025-12-15,1,Weekday,3,Cart,10210,6784,1627,0.239829
2025-12-15,1,Weekday,4,Purchase,3764,6784,1627,0.239829
2025-12-16,2,Weekday,1,View,373399,6726,1650,0.245317
2025-12-16,2,Weekday,2,Favorite,7749,6726,1650,0.245317
2025-12-16,2,Weekday,3,Cart,10166,6726,1650,0.245317
2025-12-16,2,Weekday,4,Purchase,3771,6726,1650,0.245317
2025-12-17,3,Weekday,1,View,363757,6636,1570,0.236588
2025-12-17,3,Weekday,2,Favorite,7163,6636,1570,0.236588
2025-12-17,3,Weekday,3,Cart,10256,6636,1570,0.236588
2025-12-17,3,Weekday,4,Purchase,3615,6636,1570,0.236588
2025-12-18,4,Weekday,1,View,354746,6576,1552,0.236010
2025-12-18,4,Weekday,2,Favorite,7440,6576,1552,0.236010
2025-12-18,4,Weekday,3,Cart,9825,6576,1552,0.236010
2025-12-18,4,Weekday,4,Purchase,3586,6576,1552,0.236010
